depth	Txr0	Txr1	thk	Tmr0	Tmr1	TSr0	TSr1	TSr2	TSr3	Entropy
1.5796151	0.316242337227	0.480677068233	0.581915921961	0.259804755449	0.0735216736794	0.4310978055	-0.166210979223	0.831054925919	0.300286054611	4.35742907169
1.5795691	0.3163869977	0.480613380671	-1.15615567533	0.359647870064	0.311361521482	0.431124866009	-0.166190728545	0.830953717232	0.300263226032	4.35729689675
1.5795851	0.316543638706	0.480610519648	-1.55260606304	0.363253235817	0.465606451035	0.431167006493	-0.166172236204	0.830861091614	0.300253868103	4.35721414294
1.5795428	0.316689014435	0.480550467968	-1.17903678268	0.339250266552	0.51474750042	0.431195020676	-0.166152134538	0.830760598183	0.300231873989	4.35708528239
1.5795199	0.316838175058	0.48050943017	-1.30234513499	0.320814847946	0.509405016899	0.431227624416	-0.166132554412	0.830662608147	0.300213992596	4.35697137306
1.5794554	0.316979259253	0.480427592993	-1.04512858045	0.313819855452	0.492311924696	0.431250214577	-0.166111811996	0.830558955669	0.300187170506	4.35682467531
1.579245	0.317092120647	0.480202555656	-0.46484096399	0.313669800758	0.481119513512	0.431237518787	-0.166086927056	0.83043462038	0.300128281116	4.35656091708
1.5708886	0.316146284342	0.479587614536	0.994304332793	0.314829468727	0.477990448475	0.429115593433	-0.165893271565	0.829466283321	0.298314511776	4.35004405066
1.5501487	0.316739797592	0.478985846043	-0.778489670638	0.316092163324	0.477119088173	0.424921393394	-0.164856866002	0.8242841959	0.293449878693	4.33091660048
1.527653	0.31741681695	0.47841116786	-0.866973261993	0.317071467638	0.476954698563	0.420379936695	-0.163688242435	0.818441092968	0.288160979748	4.30967909048
1.5049565	0.316978633404	0.477866768837	0.677720461425	0.317165523767	0.477684229612	0.41548037529	-0.162616029382	0.813080012798	0.282905101776	4.28850476025
1.4825802	0.316424369812	0.477668523788	1.22728102839	0.316726148129	0.478271514177	0.410590112209	-0.161540523171	0.807702600956	0.277724027634	4.26724459335
1.4606622	0.318362385035	0.477424502373	-1.44553665618	0.317561656237	0.47634524107	0.406485259533	-0.160129249096	0.800646305084	0.272464990616	4.24429458436
1.4384717	0.315341085196	0.477925032377	-1.40662364413	0.316482961178	0.479271322489	0.400883734226	-0.15931481123	0.796573936939	0.267486214638	4.22390483647
1.4160548	0.316935837269	0.477209210396	-1.14888934738	0.316430777311	0.477392345667	0.39657253027	-0.157839611173	0.789198100567	0.262131154537	4.19962581081
1.3933712	0.316022872925	0.476742625237	1.0983271046	0.316080778837	0.477228999138	0.391453623772	-0.156637936831	0.78318965435	0.256876826286	4.17621302404
1.3714927	0.315217792988	0.4770616889	-1.19346407523	0.315525323153	0.477774530649	0.386505782604	-0.155437096953	0.777185559273	0.251802325249	4.153074124
1.3491285	0.316469848156	0.47642198205	-1.09844178421	0.315900802612	0.476028621197	0.382098197937	-0.15388853848	0.769442796707	0.246494472027	4.12738084417
1.3269969	0.315418064594	0.476512312889	-1.48512987705	0.31567388773	0.476763933897	0.377002358437	-0.152623265982	0.763116359711	0.241375088692	4.102977357
1.3041598	0.316269725561	0.4754357934	-0.669316508035	0.315847277641	0.475299328566	0.372378230095	-0.151008963585	0.755044937134	0.235993742943	4.07575892602
1.2824776	0.315115630627	0.475979596376	-1.1304662094	0.315486222506	0.476370126009	0.367315649986	-0.149708747864	0.748543739319	0.23099142313	4.05074720308
1.2601113	0.315824449062	0.475376367569	-0.865685384338	0.315554618835	0.475350320339	0.362739980221	-0.148063331842	0.740316689014	0.225749909878	4.02289853413
1.2375278	0.314299851656	0.475050896406	1.36048035622	0.314704358578	0.476037055254	0.357356965542	-0.146658703685	0.733293533325	0.22056210041	3.99569675135
1.2156261	0.314842253923	0.474922627211	-1.33854809537	0.314631998539	0.475062787533	0.352820396423	-0.144985854626	0.724929332733	0.21546381712	3.96718364976
1.1930352	0.315059036016	0.474141657352	-0.270758525522	0.314778447151	0.474029421806	0.348045051098	-0.143255650997	0.716278374195	0.210234701633	3.93724385586
1.1712748	0.315324664116	0.474175900221	1.44259568959	0.315157800913	0.473759263754	0.343456327915	-0.141544729471	0.707723796368	0.205217540264	3.90765944727
1.1493422	0.315413445234	0.474048823118	-0.609762888132	0.315367311239	0.473812162876	0.338780045509	-0.139799326658	0.698996603489	0.20018696785	3.87720328177
1.140414	0.314093619585	0.476731419563	-0.457217322912	0.314928650856	0.477039426565	0.33652895689	-0.13920353353	0.696017682552	0.198167562485	3.86528417238
1.1413232	0.315036118031	0.477485328913	0.89611456119	0.315061956644	0.477322101593	0.337059378624	-0.139155015349	0.695775091648	0.198354125023	3.86589817553
1.1428696	0.313975691795	0.479319304228	-0.524247975622	0.314620226622	0.47967967391	0.33698195219	-0.139428704977	0.697143614292	0.198733627796	3.868910328
1.1439369	0.315256983042	0.480089306831	1.0296702775	0.315099030733	0.479564189911	0.337707817554	-0.139333635569	0.69666826725	0.198945343494	3.86941724884
1.1365261	0.315570682287	0.480108588934	1.50942373751	0.315487831831	0.479673802853	0.33587449789	-0.138823345304	0.694116771221	0.197268605232	3.85939724803
1.1151999	0.315612733364	0.478967785835	-0.0368443838658	0.315474539995	0.479018002748	0.331113219261	-0.137139886618	0.685699522495	0.19242310524	3.8290140865
1.0928197	0.3163151443	0.478325843811	-0.830346040951	0.315947175026	0.477887094021	0.326371073723	-0.135240316391	0.676201581955	0.187350690365	3.79578988881
1.0706005	0.316435724497	0.478017747402	-0.372993168045	0.316296130419	0.477668106556	0.321440935135	-0.133389875293	0.66694945097	0.182351887226	3.76236698717
